method,metric,old_tapered_unadjusted,old_tapered_regression_adjusted,old_tapered_matched,new_notaper_unadjusted,new_notaper_regression_adjusted,new_notaper_matched,old_tapered_interpretation_grade,new_notaper_interpretation_grade,same_direction_all_three_new
Wiener_oracle,corr_z,0.0662974518281706,0.06537813832913147,0.06051985735445187,0.06625842548387728,0.06899710850220948,0.06140278346332328,qualified_consistent,qualified_consistent,True
Wiener_oracle,background_suppression_db,0.5763009605928779,0.43264391362895205,-0.19311627736584328,0.555561117839499,0.19547558528912556,0.12186164253712993,suggestive,qualified_consistent,True
p01_e07,output_vs_clean_snr,-0.18335839020513076,-0.1947457800590712,-0.23916150444331372,-0.1858117608185097,-0.22167698846645142,-0.25988391412320405,qualified_consistent,qualified_consistent,True
p01_e07,amp_ratio_clean,0.1733212815540084,0.2464751700248238,0.16190842414877676,0.15419459354254061,0.22471924661282908,0.10090106284486702,qualified_consistent,qualified_consistent,True
p01_e07,corr_z,-0.010948837990793658,-0.02964319021825626,-0.04358508076742231,-0.010337522600113114,-0.030876992635537562,-0.0420798108974622,qualified_consistent,qualified_consistent,True
p01_e07,background_suppression_db,-0.4714857908245129,-0.34047619462302714,-0.24777526135226946,-0.47098205985456065,-0.4394716832957608,-0.2803986584864563,qualified_consistent,qualified_consistent,True
p05_e16,output_vs_clean_snr,-0.21005461465490086,-0.24589645017182504,-0.2755499862380364,-0.21095375454742613,-0.2492809508566397,-0.3089329416579312,qualified_consistent,qualified_consistent,True
p05_e16,amp_ratio_clean,0.21465490957290712,0.30676382559537896,0.26542630103231496,0.1908801696806841,0.26870176586892747,0.2027788296693366,qualified_consistent,qualified_consistent,True
p05_e16,corr_z,-0.01927080559702954,-0.041089410023616595,-0.04939030125275595,-0.018658739902960852,-0.04087501464718982,-0.04930013199499431,qualified_consistent,qualified_consistent,True
p05_e16,background_suppression_db,-0.37567222602093153,-0.26277814709434305,-0.22238718175281322,-0.37351177629711785,-0.3374564292726115,-0.31567530759750106,qualified_consistent,qualified_consistent,True
p0_e06,output_vs_clean_snr,-0.22795186055864858,-0.22128126880740737,-0.30885315696525156,-0.2295057304738251,-0.2581988497889241,-0.28755067806403983,qualified_consistent,qualified_consistent,True
p0_e06,amp_ratio_clean,0.09363632227097995,0.1834672551922196,0.12494799852554937,0.08056362648005755,0.17016510461272222,0.04127256949093914,qualified_consistent,qualified_consistent,True
p0_e06,corr_z,-0.011433023209308002,-0.030160002116263858,-0.04167890514615601,-0.010788359274239157,-0.031159279991334464,-0.040898851095811685,qualified_consistent,qualified_consistent,True
p0_e06,background_suppression_db,-0.5896688257210778,-0.458999453241829,-0.41114068011848504,-0.5892655809979708,-0.5770046940831299,-0.31769693697212775,qualified_consistent,qualified_consistent,True
