method,n,snr_gain_mean,snr_gain_std,amp_ratio_mean,amp_ratio_std,delay_s_mean,delay_s_std,psd_1_5_mean,psd_1_5_std,psd_5_10_mean,psd_5_10_std,psd_10_20_mean,psd_10_20_std
exp5_p05_seed43_e018,25,-2.23515908243235,4.212368104119582,0.60135513635359,0.21936093657786176,-0.692857142857143,0.9305791481762355,4.0699865734894125,3.836477916622333,-1.0231314313482756,7.654066739462905,4.864672197567188,6.558574855473787
exp5_p05_seed43_e019,25,-2.0353783913109287,3.5723720094799436,0.603818302467651,0.21786536868432388,-0.4333333333333334,0.9858104392946051,4.094023515163745,4.203514325657258,-0.8199837415039363,7.676566412220767,4.959232556712912,6.556614385599783
exp5_p05_seed43_e020,25,-2.0852601431592865,4.262566889848563,0.6021473295897136,0.20696878940818725,-0.700769230769231,0.9598514431407644,3.9652583625103444,4.278158415658526,-0.9886118959842848,7.675186832685607,4.823219731406124,6.62977541023468
exp5_p05_seed43_e021,25,-1.847265657259578,3.9020524874112144,0.6095860629130512,0.21656120612576216,-0.7235714285714286,0.9485749246923524,4.215522573652993,4.034317787523714,-0.7401898851029348,7.500616336907806,5.124514143172202,6.396321336438188
exp5_p05_seed43_e022,25,-2.098933379472244,3.6110806738211494,0.612491696006906,0.20609938238897277,-0.6313333333333334,1.009929810542407,4.035870151480091,3.7943916077543576,-0.9748577821382096,7.485193857001274,4.781844006822173,6.39921406009846
exp5_p05_seed43_e023,25,-2.0396120855319158,4.141938786024895,0.6103594582196189,0.21128388684499944,-0.6678571428571429,1.010156837691402,3.939938087531425,4.104751230384376,-0.8592174908061948,7.565985893023726,4.9040637895826285,6.500807364091519
exp5_p05_seed43_e024,25,-1.8063058591153556,3.7564163172909604,0.5920448250829362,0.20668911807556242,-0.7007142857142857,1.0356258582940785,4.223460143621691,4.037889841090131,-0.6257166865404552,7.575942839720786,5.087399059849064,6.476706794259787
exp5_p05_seed43_e025,25,-1.8715911021664444,3.6963620880663446,0.5916993430004944,0.20995581392174145,-0.7586666666666667,1.0469630153713911,4.197478518752231,3.912387093352203,-0.677801817582376,7.606520522026332,5.007418970775342,6.478873352000178
exp5_p05_seed43_e026,25,-1.8652808583047094,3.814983638305584,0.5905408983029592,0.2169277465252015,-0.6726666666666667,0.9942867907310355,4.224934197737261,4.029914866408851,-0.6309857112212026,7.624896293928797,5.164449443722831,6.559061421073485
exp5_p05_seed43_e027,25,-1.8730648648274035,3.458641104827409,0.600559231244251,0.2163546962241058,-0.7014285714285714,1.094765840213312,4.02301427441666,3.9446380306920212,-0.8667888484199218,7.6005198216741,4.897913777748573,6.575340631316994
