case_id,event_template,station_template,noise_files,station_noise,onset_s,target_snr_db,method,background_suppression_db,output_vs_clean_snr,amp_ratio_clean,lag_s,corr_z
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,Wiener_blind,0.9253766783850427,-4.846449812410902,1.1511570867826115,0.0,0.4230414405573672
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,Wiener_oracle,13.144832198201,4.090032546924308,0.5149790933735457,0.0,0.8660133609332654
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,p0_e06,6.313040565803087,-2.3246754490838817,0.43520123672543454,0.56,0.10137973283409595
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,p01_e07,6.434949021462284,-2.1262214605738605,0.5752615767171818,0.11,0.14332876262904862
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,p05_e16,6.570932334619821,-2.2938480894506004,0.5706399639713723,0.55,0.1317896537262322
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,Noisy,-6.084906313951455e-13,-1.3113993560455105e-07,0.9897100180680287,0.0,0.6452645149436487
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,Bandpass,0.6420584508675399,0.9975077332047908,1.0213673539238588,0.0,0.6834182935272757
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,Wiener_blind,0.7427293188781597,0.11167756586833529,0.9977321173319544,0.0,0.6422282438937739
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,Wiener_oracle,8.679123721292365,7.121019424886342,0.7024989274008397,0.0,0.9304166226719711
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,p0_e06,6.268403959818661,-0.2528536177177322,0.38191149200459396,0.0,0.1555873188247341
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,p01_e07,6.441366519419241,-0.25029444304912507,0.4967091786556389,0.0,0.21104611800143602
8,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,0.0,p05_e16,6.527842513288347,-0.3974014099952086,0.40149286246256966,0.0,0.1543379511278915
9,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,5.0,Noisy,-1.0819754174728555e-12,5.00000036331193,0.9797428258000136,0.0,0.8329459420136924
9,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,5.0,Bandpass,0.6420580047072335,5.984195762502025,0.96783036015476,0.0,0.8576465697934007
