event_id,station,file_name
AM.R8219.event.20260221T124511,R8219,AM.R8219.event.20260221T124511.mseed
AM.R8219.event.20260326T084219,R8219,AM.R8219.event.20260326T084219.mseed
AM.R8219.event.20260503T183912,R8219,AM.R8219.event.20260503T183912.mseed
AM.R8219.event.20260520T141512,R8219,AM.R8219.event.20260520T141512.mseed
AM.R8219.event.20260525T152727,R8219,AM.R8219.event.20260525T152727.mseed
AM.R87FD.event.20260323T172646,R87FD,AM.R87FD.event.20260323T172646.mseed
AM.R87FD.event.20260323T184710,R87FD,AM.R87FD.event.20260323T184710.mseed
AM.R87FD.event.20260331T071214,R87FD,AM.R87FD.event.20260331T071214.mseed
AM.R87FD.event.20260425T143601,R87FD,AM.R87FD.event.20260425T143601.mseed
AM.R87FD.event.20260426T072653,R87FD,AM.R87FD.event.20260426T072653.mseed
AM.R87FD.event.20260426T125919,R87FD,AM.R87FD.event.20260426T125919.mseed
AM.R87FD.event.20260426T151611,R87FD,AM.R87FD.event.20260426T151611.mseed
AM.R87FD.event.20260531T005602,R87FD,AM.R87FD.event.20260531T005602.mseed
AM.R8A9B.event.20260514T155037,R8A9B,AM.R8A9B.event.20260514T155037.mseed
AM.R8A9B.event.20260519T020605,R8A9B,AM.R8A9B.event.20260519T020605.mseed
AM.R8A9B.event.20260520T130642,R8A9B,AM.R8A9B.event.20260520T130642.mseed
AM.R8A9B.event.20260520T140354,R8A9B,AM.R8A9B.event.20260520T140354.mseed
AM.R8A9B.event.20260525T175536,R8A9B,AM.R8A9B.event.20260525T175536.mseed
AM.R8A9B.event.20260526T134439,R8A9B,AM.R8A9B.event.20260526T134439.mseed
AM.R8A9B.event.20260526T154802,R8A9B,AM.R8A9B.event.20260526T154802.mseed
AM.R8A9B.event.20260529T135851,R8A9B,AM.R8A9B.event.20260529T135851.mseed
AM.R8D8E.event.20251216T034428,R8D8E,AM.R8D8E.event.20251216T034428.mseed
AM.R8D8E.event.20260415T070506,R8D8E,AM.R8D8E.event.20260415T070506.mseed
AM.R8D8E.event.20260511T045913,R8D8E,AM.R8D8E.event.20260511T045913.mseed
AM.R8D8E.event.20260520T230940,R8D8E,AM.R8D8E.event.20260520T230940.mseed
AM.R8D8E.event.20260525T215903,R8D8E,AM.R8D8E.event.20260525T215903.mseed
AM.R8D8E.event.20260529T212340,R8D8E,AM.R8D8E.event.20260529T212340.mseed
AM.R8D8E.event.20260530T213312,R8D8E,AM.R8D8E.event.20260530T213312.mseed
AM.R8D8E.event.20260531T214211,R8D8E,AM.R8D8E.event.20260531T214211.mseed
AM.R92E0.event.20251020T170656,R92E0,AM.R92E0.event.20251020T170656.mseed
AM.R92E0.event.20251114T001801,R92E0,AM.R92E0.event.20251114T001801.mseed
AM.R92E0.event.20260416T194641,R92E0,AM.R92E0.event.20260416T194641.mseed
AM.R92E0.event.20260426T043244,R92E0,AM.R92E0.event.20260426T043244.mseed
AM.R92E0.event.20260509T045335,R92E0,AM.R92E0.event.20260509T045335.mseed
AM.R92E0.event.20260515T113354,R92E0,AM.R92E0.event.20260515T113354.mseed
AM.R92E0.event.20260516T145948,R92E0,AM.R92E0.event.20260516T145948.mseed
AM.R92E0.event.20260520T141619,R92E0,AM.R92E0.event.20260520T141619.mseed
AM.R976A.event.20251124T163141,R976A,AM.R976A.event.20251124T163141.mseed
AM.R976A.event.20260208T120157,R976A,AM.R976A.event.20260208T120157.mseed
AM.R976A.event.20260317T043013,R976A,AM.R976A.event.20260317T043013.mseed
AM.R976A.event.20260330T022422,R976A,AM.R976A.event.20260330T022422.mseed
AM.R976A.event.20260404T060056,R976A,AM.R976A.event.20260404T060056.mseed
AM.R976A.event.20260506T134830,R976A,AM.R976A.event.20260506T134830.mseed
AM.R976A.event.20260513T082209,R976A,AM.R976A.event.20260513T082209.mseed
AM.R976A.event.20260531T181153,R976A,AM.R976A.event.20260531T181153.mseed
AM.R985F.event.20260216T200419,R985F,AM.R985F.event.20260216T200419.mseed
AM.R985F.event.20260217T223612,R985F,AM.R985F.event.20260217T223612.mseed
AM.R985F.event.20260225T201623,R985F,AM.R985F.event.20260225T201623.mseed
AM.R985F.event.20260301T190037,R985F,AM.R985F.event.20260301T190037.mseed
AM.R985F.event.20260311T201711,R985F,AM.R985F.event.20260311T201711.mseed
AM.R985F.event.20260325T201417,R985F,AM.R985F.event.20260325T201417.mseed
AM.R985F.event.20260412T150241,R985F,AM.R985F.event.20260412T150241.mseed
AM.R985F.event.20260507T174558,R985F,AM.R985F.event.20260507T174558.mseed
AM.R9F13.event.20251025T012054,R9F13,AM.R9F13.event.20251025T012054.mseed
AM.R9F13.event.20251208T053145,R9F13,AM.R9F13.event.20251208T053145.mseed
AM.R9F13.event.20260113T083008,R9F13,AM.R9F13.event.20260113T083008.mseed
AM.R9F13.event.20260121T091716,R9F13,AM.R9F13.event.20260121T091716.mseed
AM.R9F13.event.20260221T124506,R9F13,AM.R9F13.event.20260221T124506.mseed
AM.R9F13.event.20260304T002515,R9F13,AM.R9F13.event.20260304T002515.mseed
AM.R9F13.event.20260426T022606,R9F13,AM.R9F13.event.20260426T022606.mseed
AM.R9F13.event.20260505T003718,R9F13,AM.R9F13.event.20260505T003718.mseed
AM.RA825.event.20260420T224413,RA825,AM.RA825.event.20260420T224413.mseed
AM.RA825.event.20260422T172416,RA825,AM.RA825.event.20260422T172416.mseed
AM.RA825.event.20260422T172539,RA825,AM.RA825.event.20260422T172539.mseed
AM.RA825.event.20260424T193141,RA825,AM.RA825.event.20260424T193141.mseed
AM.RA825.event.20260425T192159,RA825,AM.RA825.event.20260425T192159.mseed
AM.RA825.event.20260509T045930,RA825,AM.RA825.event.20260509T045930.mseed
AM.RA825.event.20260509T150700,RA825,AM.RA825.event.20260509T150700.mseed
AM.RA825.event.20260521T190154,RA825,AM.RA825.event.20260521T190154.mseed
AM.RAB7F.event.20250602T231852,RAB7F,AM.RAB7F.event.20250602T231852.mseed
AM.RAB7F.event.20250907T093655,RAB7F,AM.RAB7F.event.20250907T093655.mseed
AM.RAB7F.event.20260220T031127,RAB7F,AM.RAB7F.event.20260220T031127.mseed
AM.RAB7F.event.20260406T075218,RAB7F,AM.RAB7F.event.20260406T075218.mseed
AM.RAB7F.event.20260424T121138,RAB7F,AM.RAB7F.event.20260424T121138.mseed
AM.RAB7F.event.20260516T150229,RAB7F,AM.RAB7F.event.20260516T150229.mseed
AM.RAB7F.event.20260520T060120,RAB7F,AM.RAB7F.event.20260520T060120.mseed
AM.RAB7F.event.20260529T143845,RAB7F,AM.RAB7F.event.20260529T143845.mseed
AM.RAC20.event.20260425T073930,RAC20,AM.RAC20.event.20260425T073930.mseed
AM.RAC20.event.20260425T121222,RAC20,AM.RAC20.event.20260425T121222.mseed
AM.RAC20.event.20260501T081841,RAC20,AM.RAC20.event.20260501T081841.mseed
AM.RAC20.event.20260504T031325,RAC20,AM.RAC20.event.20260504T031325.mseed
AM.RAC20.event.20260509T045848,RAC20,AM.RAC20.event.20260509T045848.mseed
AM.RAC20.event.20260515T110739,RAC20,AM.RAC20.event.20260515T110739.mseed
AM.RAC20.event.20260525T085423,RAC20,AM.RAC20.event.20260525T085423.mseed
AM.RAC20.event.20260528T114956,RAC20,AM.RAC20.event.20260528T114956.mseed
AM.RB0FB.event.20260420T080958,RB0FB,AM.RB0FB.event.20260420T080958.mseed
AM.RB0FB.event.20260425T081543,RB0FB,AM.RB0FB.event.20260425T081543.mseed
AM.RB0FB.event.20260504T152430,RB0FB,AM.RB0FB.event.20260504T152430.mseed
AM.RB0FB.event.20260509T045317,RB0FB,AM.RB0FB.event.20260509T045317.mseed
AM.RB0FB.event.20260516T145512,RB0FB,AM.RB0FB.event.20260516T145512.mseed
AM.RB0FB.event.20260519T180629,RB0FB,AM.RB0FB.event.20260519T180629.mseed
AM.RB0FB.event.20260525T220155,RB0FB,AM.RB0FB.event.20260525T220155.mseed
AM.RB0FB.event.20260531T214508,RB0FB,AM.RB0FB.event.20260531T214508.mseed
AM.RB53D.event.20260414T163731,RB53D,AM.RB53D.event.20260414T163731.mseed
AM.RB53D.event.20260420T080941,RB53D,AM.RB53D.event.20260420T080941.mseed
AM.RB53D.event.20260504T152554,RB53D,AM.RB53D.event.20260504T152554.mseed
