run,method,epoch,val_loss,dev_snr_gain_mean,dev_amp_ratio_mean,final_snr_gain_mean,final_amp_ratio_mean,rank_val,rank_dev,rank_final,rank_val_norm,rank_dev_norm,rank_final_norm
p01,p01_e08,8,0.94152,-1.4373241247130972,0.47952482892643167,-0.5750547553183921,0.47776535262073805,5,4,3,0.4,0.3,0.2
p01,p01_e09,9,0.9493,-0.7433563255303578,0.40443374292892253,-0.0974398610292328,0.41333668102604487,7,8,9,0.6,0.7,0.8
p01,p01_e10,10,1.02033,-1.7645857328873131,0.37115174715702054,-0.8280809441553858,0.3639805348980867,11,10,11,1.0,0.9,1.0
p01,p01_e11,11,0.98582,-1.7748997192339835,0.3944273785802234,-0.5498638078560437,0.39482268565108053,10,9,10,0.9,0.8,0.9
p05,p05_e01,1,0.98273,-3.571904272352749,0.35345170661769776,-2.1703547776283836,0.2809897811646414,14,21,21,0.65,1.0,1.0
p05,p05_e02,2,0.99367,-3.6116938745445037,0.399797525860796,-2.082005483435114,0.3265034437126245,17,18,18,0.8,0.85,0.85
p05,p05_e03,3,1.00562,-3.6619044281429063,0.3780707197482546,-2.3249078524772258,0.3155246538734527,19,19,19,0.9,0.9,0.9
p05,p05_e04,4,0.93236,-3.861840172842157,0.3571742626579937,-2.5761993290753398,0.2993932516189802,1,20,20,0.0,0.95,0.95
p05,p05_e05,5,1.02162,-2.307680654810065,0.4167701643671049,-1.8822316560189072,0.362723732396105,21,16,17,1.0,0.75,0.8
p05,p05_e06,6,0.97749,-1.99928044401384,0.4275930064861235,-1.6844856471715846,0.38604752893032346,12,15,14,0.55,0.7,0.65
p05,p05_e07,7,0.9332,-2.750229206914455,0.5182037720997902,-1.8130473235584765,0.45502952568846844,2,6,16,0.05,0.25,0.75
p05,p05_e08,8,0.98695,-2.6161332819270804,0.4981360726009275,-1.6725970201031979,0.4257701676030644,15,9,10,0.7,0.4,0.45
p05,p05_e09,9,0.99094,-2.6585545547772167,0.5002133230295425,-1.649347699874163,0.4387823724725044,16,8,8,0.75,0.35,0.35
p05,p05_e10,10,0.9391,-2.2977447352084237,0.5035138262772019,-1.2215106870510748,0.45734447453651167,3,7,6,0.1,0.3,0.25
p05,p05_e11,11,1.0195,-2.5801243735562553,0.49749412737821275,-1.353420969949416,0.4454274510759814,20,10,7,0.95,0.45,0.3
p05,p05_e12,12,0.94616,-2.8025115419335602,0.47170266924723836,-1.3021834937973715,0.42593935093609736,4,17,9,0.15,0.8,0.4
p05,p05_e13,13,0.9627,-2.413964371036489,0.5449521000693831,-1.2556592116855771,0.4787939253820966,9,4,4,0.4,0.15,0.15
p05,p05_e14,14,0.97109,-2.763198974131656,0.5699944687732212,-1.4271363602102298,0.49924824401186946,10,2,2,0.45,0.05,0.05
p05,p05_e15,15,0.99871,-2.2503928967131777,0.554672361818946,-1.1819622637062412,0.4904547835261027,18,3,3,0.85,0.1,0.1
p05,p05_e16,16,0.97813,-2.6164212623872576,0.5863745740286307,-1.029515720729743,0.5018574203961986,13,1,1,0.6,0.0,0.0
p05,p05_e17,17,0.96265,-1.8834654863964275,0.5248128743671546,-0.8159881546865281,0.457744138371495,8,5,5,0.35,0.2,0.2
p05,p05_e18,18,0.9528,-1.6979702411370212,0.4721666011635324,-0.785126073858793,0.40682405202324334,6,12,12,0.25,0.55,0.55
p05,p05_e19,19,0.94644,-2.3485219466693037,0.4952011803290013,-1.0271550794853628,0.4084941603226954,5,11,11,0.2,0.5,0.5
p05,p05_e20,20,0.95812,-0.7960208536176145,0.46221770225229003,0.20678015572973826,0.39306102252583247,7,13,13,0.3,0.6,0.6
p05,p05_e21,21,0.97672,-1.0594431412687682,0.4611591192734579,0.24727301161387014,0.3823118985070239,11,14,15,0.5,0.65,0.7

