lambda_pol,lambda_label,seed,run_name,m,rank,selected_epoch,count,frequency
0.5,lambda=0.5,44,exp5_p05_seed44,5,9,12,7,0.0035
0.5,lambda=0.5,44,exp5_p05_seed44,5,10,21,2,0.001
0.5,lambda=0.5,44,exp5_p05_seed44,5,11,23,1,0.0005
0.5,lambda=0.5,44,exp5_p05_seed44,10,1,14,1126,0.563
0.5,lambda=0.5,44,exp5_p05_seed44,10,2,15,289,0.1445
0.5,lambda=0.5,44,exp5_p05_seed44,10,3,13,285,0.1425
0.5,lambda=0.5,44,exp5_p05_seed44,10,4,18,237,0.1185
0.5,lambda=0.5,44,exp5_p05_seed44,10,5,6,57,0.0285
0.5,lambda=0.5,44,exp5_p05_seed44,10,6,11,6,0.003
0.5,lambda=0.5,44,exp5_p05_seed44,15,1,14,1265,0.6325
0.5,lambda=0.5,44,exp5_p05_seed44,15,2,13,283,0.1415
0.5,lambda=0.5,44,exp5_p05_seed44,15,3,15,259,0.1295
0.5,lambda=0.5,44,exp5_p05_seed44,15,4,18,173,0.0865
0.5,lambda=0.5,44,exp5_p05_seed44,15,5,6,17,0.0085
0.5,lambda=0.5,44,exp5_p05_seed44,15,6,11,3,0.0015
0.5,lambda=0.5,44,exp5_p05_seed44,20,1,14,1429,0.7145
0.5,lambda=0.5,44,exp5_p05_seed44,20,2,13,232,0.116
0.5,lambda=0.5,44,exp5_p05_seed44,20,3,15,208,0.104
0.5,lambda=0.5,44,exp5_p05_seed44,20,4,18,123,0.0615
0.5,lambda=0.5,44,exp5_p05_seed44,20,5,6,8,0.004
0.5,lambda=0.5,44,exp5_p05_seed44,25,1,14,1533,0.7665
0.5,lambda=0.5,44,exp5_p05_seed44,25,2,13,220,0.11
0.5,lambda=0.5,44,exp5_p05_seed44,25,3,15,166,0.083
0.5,lambda=0.5,44,exp5_p05_seed44,25,4,18,76,0.038
0.5,lambda=0.5,44,exp5_p05_seed44,25,5,6,5,0.0025
0.0,lambda=0,42,exp5_p0_seed42,5,1,15,791,0.3955
0.0,lambda=0,42,exp5_p0_seed42,5,2,9,219,0.1095
0.0,lambda=0,42,exp5_p0_seed42,5,3,14,153,0.0765
0.0,lambda=0,42,exp5_p0_seed42,5,4,13,139,0.0695
0.0,lambda=0,42,exp5_p0_seed42,5,5,18,111,0.0555
0.0,lambda=0,42,exp5_p0_seed42,5,6,6,110,0.055
0.0,lambda=0,42,exp5_p0_seed42,5,7,4,101,0.0505
0.0,lambda=0,42,exp5_p0_seed42,5,8,19,97,0.0485
0.0,lambda=0,42,exp5_p0_seed42,5,9,16,97,0.0485
0.0,lambda=0,42,exp5_p0_seed42,5,10,8,53,0.0265
0.0,lambda=0,42,exp5_p0_seed42,5,11,2,37,0.0185
0.0,lambda=0,42,exp5_p0_seed42,5,12,3,27,0.0135
0.0,lambda=0,42,exp5_p0_seed42,5,13,7,20,0.01
0.0,lambda=0,42,exp5_p0_seed42,5,14,5,10,0.005
0.0,lambda=0,42,exp5_p0_seed42,5,15,10,10,0.005
0.0,lambda=0,42,exp5_p0_seed42,5,16,12,8,0.004
0.0,lambda=0,42,exp5_p0_seed42,5,17,1,7,0.0035
0.0,lambda=0,42,exp5_p0_seed42,5,18,20,6,0.003
0.0,lambda=0,42,exp5_p0_seed42,5,19,11,3,0.0015
0.0,lambda=0,42,exp5_p0_seed42,5,20,17,1,0.0005
0.0,lambda=0,42,exp5_p0_seed42,10,1,15,1246,0.623
0.0,lambda=0,42,exp5_p0_seed42,10,2,9,224,0.112
0.0,lambda=0,42,exp5_p0_seed42,10,3,19,157,0.0785
0.0,lambda=0,42,exp5_p0_seed42,10,4,13,127,0.0635
0.0,lambda=0,42,exp5_p0_seed42,10,5,18,77,0.0385
0.0,lambda=0,42,exp5_p0_seed42,10,6,6,53,0.0265
0.0,lambda=0,42,exp5_p0_seed42,10,7,16,35,0.0175
0.0,lambda=0,42,exp5_p0_seed42,10,8,14,29,0.0145
0.0,lambda=0,42,exp5_p0_seed42,10,9,4,27,0.0135
0.0,lambda=0,42,exp5_p0_seed42,10,10,8,8,0.004
0.0,lambda=0,42,exp5_p0_seed42,10,11,2,7,0.0035
0.0,lambda=0,42,exp5_p0_seed42,10,12,5,3,0.0015
0.0,lambda=0,42,exp5_p0_seed42,10,13,7,3,0.0015
0.0,lambda=0,42,exp5_p0_seed42,10,14,3,2,0.001
0.0,lambda=0,42,exp5_p0_seed42,10,15,11,1,0.0005
0.0,lambda=0,42,exp5_p0_seed42,10,16,12,1,0.0005
0.0,lambda=0,42,exp5_p0_seed42,15,1,15,1431,0.7155
0.0,lambda=0,42,exp5_p0_seed42,15,2,19,176,0.088
0.0,lambda=0,42,exp5_p0_seed42,15,3,9,176,0.088
0.0,lambda=0,42,exp5_p0_seed42,15,4,13,85,0.0425
0.0,lambda=0,42,exp5_p0_seed42,15,5,18,67,0.0335
0.0,lambda=0,42,exp5_p0_seed42,15,6,6,28,0.014
0.0,lambda=0,42,exp5_p0_seed42,15,7,16,14,0.007
0.0,lambda=0,42,exp5_p0_seed42,15,8,4,13,0.0065
0.0,lambda=0,42,exp5_p0_seed42,15,9,14,6,0.003
0.0,lambda=0,42,exp5_p0_seed42,15,10,7,2,0.001
0.0,lambda=0,42,exp5_p0_seed42,15,11,8,2,0.001
0.0,lambda=0,42,exp5_p0_seed42,20,1,15,1572,0.786
0.0,lambda=0,42,exp5_p0_seed42,20,2,19,161,0.0805
0.0,lambda=0,42,exp5_p0_seed42,20,3,9,124,0.062
0.0,lambda=0,42,exp5_p0_seed42,20,4,18,61,0.0305
0.0,lambda=0,42,exp5_p0_seed42,20,5,13,59,0.0295
0.0,lambda=0,42,exp5_p0_seed42,20,6,6,12,0.006
0.0,lambda=0,42,exp5_p0_seed42,20,7,16,6,0.003
0.0,lambda=0,42,exp5_p0_seed42,20,8,4,4,0.002
0.0,lambda=0,42,exp5_p0_seed42,20,9,14,1,0.0005
0.0,lambda=0,42,exp5_p0_seed42,25,1,15,1663,0.8315
0.0,lambda=0,42,exp5_p0_seed42,25,2,19,150,0.075
0.0,lambda=0,42,exp5_p0_seed42,25,3,9,82,0.041
0.0,lambda=0,42,exp5_p0_seed42,25,4,18,49,0.0245
0.0,lambda=0,42,exp5_p0_seed42,25,5,13,46,0.023
0.0,lambda=0,42,exp5_p0_seed42,25,6,16,5,0.0025
0.0,lambda=0,42,exp5_p0_seed42,25,7,14,2,0.001
0.0,lambda=0,42,exp5_p0_seed42,25,8,6,2,0.001
0.0,lambda=0,42,exp5_p0_seed42,25,9,3,1,0.0005
0.0,lambda=0,43,exp5_p0_seed43,5,1,8,979,0.4895
0.0,lambda=0,43,exp5_p0_seed43,5,2,7,637,0.3185
0.0,lambda=0,43,exp5_p0_seed43,5,3,5,278,0.139
0.0,lambda=0,43,exp5_p0_seed43,5,4,2,77,0.0385
0.0,lambda=0,43,exp5_p0_seed43,5,5,11,21,0.0105
0.0,lambda=0,43,exp5_p0_seed43,5,6,1,8,0.004
0.0,lambda=0,43,exp5_p0_seed43,10,1,8,1066,0.533
0.0,lambda=0,43,exp5_p0_seed43,10,2,7,737,0.3685
0.0,lambda=0,43,exp5_p0_seed43,10,3,5,180,0.09
0.0,lambda=0,43,exp5_p0_seed43,10,4,2,16,0.008
0.0,lambda=0,43,exp5_p0_seed43,10,5,11,1,0.0005
0.0,lambda=0,43,exp5_p0_seed43,15,1,8,1109,0.5545
0.0,lambda=0,43,exp5_p0_seed43,15,2,7,757,0.3785
0.0,lambda=0,43,exp5_p0_seed43,15,3,5,133,0.0665
0.0,lambda=0,43,exp5_p0_seed43,15,4,2,1,0.0005
0.0,lambda=0,43,exp5_p0_seed43,20,1,8,1152,0.576
0.0,lambda=0,43,exp5_p0_seed43,20,2,7,755,0.3775
0.0,lambda=0,43,exp5_p0_seed43,20,3,5,93,0.0465
0.0,lambda=0,43,exp5_p0_seed43,25,1,8,1213,0.6065
0.0,lambda=0,43,exp5_p0_seed43,25,2,7,733,0.3665
0.0,lambda=0,43,exp5_p0_seed43,25,3,5,54,0.027
0.0,lambda=0,44,exp5_p0_seed44,5,1,7,630,0.315
0.0,lambda=0,44,exp5_p0_seed44,5,2,13,475,0.2375
0.0,lambda=0,44,exp5_p0_seed44,5,3,9,394,0.197
0.0,lambda=0,44,exp5_p0_seed44,5,4,12,139,0.0695
0.0,lambda=0,44,exp5_p0_seed44,5,5,3,138,0.069
0.0,lambda=0,44,exp5_p0_seed44,5,6,2,106,0.053
0.0,lambda=0,44,exp5_p0_seed44,5,7,1,59,0.0295
0.0,lambda=0,44,exp5_p0_seed44,5,8,8,18,0.009
0.0,lambda=0,44,exp5_p0_seed44,5,9,5,17,0.0085
